SampleNo,DriverGender,DriverAge,YearsLicensed,Licensed Age,WindscreenExtension,RentalCar,Alarm,GarageType,FinanceType,StandardExcess,LicenceType,CurrentInsurer,Modified,Num Claims,Num Claims in 3 years,Num Claims in 5 years,Vehicle Sum Insured,TypeOfUse,CoverType,ExistingPolicies,RoadsideRescue,Other Accessories,Additional Driver,AAMember_B,Start Date,Immobliser,HasPassengerFare,HasTradeUse,HCusinessUseType,IsACustomer,Vehicle Year,Make,Model,gd2000_xcoord,gd2000_ycoord,X_Coord,Y_Coord
1,Female,49,31,18,No,No,No,Carport,NO,400,NZFULL,A,No,1,0,1,36520,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2019,Foton,Sauvana,175.0278784,-41.14488625,1770178.504,5443177.029
2,Male,28,9,19,No,No,No,Garage,NO,400,NZFULL,B,No,3,1,3,19723,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2008,Fiat,Ducato,175.0153824,-41.14356487,1769133.184,5443348.088
3,Male,27,9,18,No,No,No,Carport,NO,400,NZFULL,C,No,0,0,0,22857,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2018,Holden,Astra,175.1436778,-41.0961994,1780029.992,5448349.479
4,Male,52,34,18,No,No,No,Driveway,NO,400,Australian,C,No,0,0,0,14773,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2010,Suzuki,Grand Vitara,175.1092466,-41.09522918,1777140.823,5448527.775
5,Male,31,12,19,No,No,Yes,Driveway,NO,400,NZRESTRICTED,H,No,0,0,0,10360,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2002,Ford,Falcon,175.0715807,-41.11920962,1773914.021,5445941.33
6,Male,54,36,18,No,No,No,Driveway,NO,400,NZLEARNERS,D,No,0,0,0,12987,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2011,Mazda,Atenza,168.3663915,-46.44522485,1244116.961,4846042.905
7,Male,30,12,18,No,No,Yes,Garage,NO,400,NZFULL,E,No,0,0,0,21730,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2017,Subaru,Impreza,168.3584813,-46.43001485,1243410.076,4847696.979
8,Male,23,3,20,No,No,No,Driveway,NO,400,NZRESTRICTED,H,No,2,1,2,7663,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2010,Nissan,Wingroad,168.367577,-46.433295,1244130.181,4847373.624
9,Female,55,37,18,No,No,No,Carport,NO,400,Australian,H,No,0,0,0,22250,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2018,Mazda,Mazda2,168.3630881,-46.44274007,1243847.046,4846304.051
10,Female,27,10,17,No,No,No,Driveway,NO,400,NZFULL,A,No,0,0,0,12253,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2012,Ford,Mondeo,168.3644532,-46.43714338,1243915.352,4846931.988
11,Male,33,16,17,No,No,Yes,Garage,NO,400,NZFULL,H,No,4,3,4,34127,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2015,Ford,Ranger,168.3731016,-46.41915048,1244462.405,4848969.939
12,Male,40,22,18,No,No,No,Garage,NO,400,NZFULL,C,No,0,0,0,37300,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2018,Toyota,Hilux,168.3918963,-46.41978203,1245910.557,4848984.263
13,Male,33,13,20,No,No,Yes,Garage,NO,400,NZFULL,H,No,0,0,0,68380,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2013,Toyota,Landcruiser,172.7019292,-43.52044265,1575910.792,5181345.146
14,Female,27,10,17,No,No,No,Carport,NO,400,NZFULL,H,No,0,0,0,10650,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2013,Holden,Barina,172.7025959,-43.50416395,1575958.212,5183153.224
15,Male,24,4,20,No,No,Yes,Garage,NO,400,NZFULL,H,No,2,1,2,24637,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2012,Mazda,Bt-50,172.7061463,-43.51917847,1576251.11,5181486.756
16,Female,18,0,18,No,No,Yes,Carport,NO,400,NZRESTRICTED,G,No,0,0,0,11170,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2011,Ford,Fiesta,172.6677743,-43.49150438,1573137.663,5184548.524
17,Male,23,4,19,No,No,Yes,Garage,NO,400,NZFULL,D,No,0,0,0,29510,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2013,Kia,Sorento,172.6655816,-43.50947245,1572968.388,5182552.314
18,Male,29,7,22,No,No,No,Garage,NO,400,NZFULL,A,No,0,0,0,39345,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2008,Jaguar,Xk,172.6758505,-43.50947293,1573798.441,5182555.545
19,Female,27,9,18,No,No,No,Driveway,NO,400,NZFULL,A,No,0,0,0,54960,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2017,Toyota,Highlander,172.6656641,-43.49525833,1572968.715,5184130.935
20,Male,85,68,17,No,No,No,Garage,NO,400,NZFULL,B,No,0,0,0,124200,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2014,Mercedes-Benz,G350,172.661481,-43.49658955,1572631.11,5183981.726
21,Female,23,5,18,No,No,No,Garage,NO,400,NZFULL,H,No,0,0,0,35133,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2015,Toyota,Hilux,168.3452689,-46.37109812,1242009.192,4854182.645
22,Male,24,6,18,No,No,Yes,Garage,NO,400,NZFULL,G,No,1,1,1,41873,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2015,Ford,Transit Cargo,168.3499833,-46.3753872,1242399.788,4853727.498
23,Male,26,8,18,No,No,No,Garage,NO,400,NZFULL,H,No,0,0,0,110175,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2015,Audi,A8,168.3486789,-46.4043005,1242488.712,4850509.421
24,Female,20,1,19,No,No,Yes,Garage,NO,400,Australian,D,No,0,0,0,26690,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2010,Ford,Transit,168.3685859,-46.4042501,1244018.316,4850604.975
25,Male,29,11,18,No,No,Yes,Driveway,NO,400,NZFULL,H,No,0,0,0,12357,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2013,Honda,Jazz,174.3159077,-35.7381391,1718993.828,6044296.907
26,Female,50,32,18,No,No,Yes,Garage,AA Finance,400,NZFULL,C,No,0,0,0,95875,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2014,Toyota,Landcruiser,174.3262841,-35.73625327,1719935.019,6044493.442
27,Female,24,6,18,No,No,Yes,Garage,NO,400,NZFULL,H,No,0,0,0,22190,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2016,Holden,Astra,174.3692881,-35.74549427,1723809.765,6043414.989
28,Female,65,46,19,No,No,No,Carport,NO,400,NZFULL,E,No,0,0,0,30803,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2013,Mazda,Cx-9,174.2978523,-35.7420781,1717355.257,6043881.754
29,Male,55,36,19,No,No,No,Driveway,NO,400,NZFULL,B,No,0,0,0,12147,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2006,BMW,330d,174.3096382,-35.73985372,1718424.324,6044114.311
30,Female,41,22,19,No,No,Yes,Carport,NO,400,NZFULL,J,No,0,0,0,127200,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2017,Audi,Sq7,174.2894348,-35.73481722,1716604.671,6044697.162
31,Male,31,11,20,No,No,No,H,NO,400,NZFULL,F,No,0,0,0,38627,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2014,Ford,Ranger,174.2944472,-35.73525868,1717057.325,6044642.226
32,Female,16,0,16,No,No,No,Carport,NO,400,NZFULL,C,No,0,0,0,37553,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2017,Mitsubishi,Pajero,172.543792,-43.53404603,1563138.881,5179776.442
33,Female,27,9,18,No,No,No,Driveway,NO,400,NZFULL,D,No,0,0,0,42165,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2016,Hyundai,Santa Fe,172.4883826,-43.55142697,1558673.729,5177820.085
34,Male,36,17,19,No,No,Yes,Garage,NO,400,NZFULL,F,No,0,0,0,13077,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2009,Kia,Sportage,172.5519712,-43.5148056,1563788.245,5181916.851
35,Female,47,29,18,No,No,No,Driveway,NO,400,Australian,C,No,0,0,0,35763,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2016,Hyundai,Ix35,172.5614554,-43.51186013,1564553.079,5182248.054
36,Female,72,51,21,No,No,No,Garage,NO,400,NZFULL,A,No,0,0,0,11233,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2010,Volkswagen,Caddy,172.5676167,-43.532683,1565063.106,5179938.1
37,Male,22,0,22,No,No,No,Garage,AA Finance,400,NZFULL,B,No,0,0,0,33647,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2014,Honda,Crv,172.544965,-43.51622992,1563222.836,5181755.595
38,Female,63,41,22,No,No,No,Garage,NO,400,Australian,D,No,0,0,0,36750,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2017,Mazda,Mx-5,172.5250893,-43.5304997,1561625.472,5180161.835
39,Female,59,41,18,No,No,No,Garage,NO,400,NZFULL,C,No,0,0,0,15977,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2016,Holden,Barina,172.5543614,-43.52881673,1563989.767,5180361.831
40,Female,62,43,19,No,No,No,Carport,AA Finance,400,NZRESTRICTED,A,No,1,0,1,15130,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2015,Holden,Barina,172.5576339,-43.51998118,1564248.987,5181344.507
41,Male,52,35,17,No,No,No,Carport,NO,400,NZFULL,H,No,0,0,0,10697,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2008,Mazda,Mazda3,172.5362302,-43.51994635,1562519.165,5181338.956
